date,equity,peak,drawdown,returns
2024-01-02,30000.0,30000.0,0.0,
2024-01-03,30000.0,30000.0,0.0,0.0
2024-01-04,30000.0,30000.0,0.0,0.0
2024-01-05,30000.0,30000.0,0.0,0.0
2024-01-08,30000.0,30000.0,0.0,0.0
2024-01-09,30000.0,30000.0,0.0,0.0
2024-01-10,30000.0,30000.0,0.0,0.0
2024-01-11,30000.0,30000.0,0.0,0.0
2024-01-12,30000.0,30000.0,0.0,0.0
2024-01-16,30000.0,30000.0,0.0,0.0
2024-01-17,30000.0,30000.0,0.0,0.0
2024-01-18,30000.0,30000.0,0.0,0.0
2024-01-19,30000.0,30000.0,0.0,0.0
2024-01-22,30000.0,30000.0,0.0,0.0
2024-01-23,30000.0,30000.0,0.0,0.0
2024-01-24,30000.0,30000.0,0.0,0.0
2024-01-25,30000.0,30000.0,0.0,0.0
2024-01-26,30000.0,30000.0,0.0,0.0
2024-01-29,30000.0,30000.0,0.0,0.0
2024-01-30,30000.0,30000.0,0.0,0.0
2024-01-31,30000.0,30000.0,0.0,0.0
2024-02-01,30000.0,30000.0,0.0,0.0
2024-02-02,30000.0,30000.0,0.0,0.0
2024-02-05,30000.0,30000.0,0.0,0.0
2024-02-06,30000.0,30000.0,0.0,0.0
2024-02-07,30000.0,30000.0,0.0,0.0
2024-02-08,30000.0,30000.0,0.0,0.0
2024-02-09,30000.0,30000.0,0.0,0.0
2024-02-12,30000.0,30000.0,0.0,0.0
2024-02-13,30000.0,30000.0,0.0,0.0
2024-02-14,30000.0,30000.0,0.0,0.0
2024-02-15,30000.0,30000.0,0.0,0.0
2024-02-16,30000.0,30000.0,0.0,0.0
2024-02-20,30000.0,30000.0,0.0,0.0
2024-02-21,30000.0,30000.0,0.0,0.0
2024-02-22,30000.0,30000.0,0.0,0.0
2024-02-23,30000.0,30000.0,0.0,0.0
2024-02-26,30000.0,30000.0,0.0,0.0
2024-02-27,30000.0,30000.0,0.0,0.0
2024-02-28,30000.0,30000.0,0.0,0.0
2024-02-29,30000.0,30000.0,0.0,0.0
2024-03-01,30000.0,30000.0,0.0,0.0
2024-03-04,30000.0,30000.0,0.0,0.0
2024-03-05,30000.0,30000.0,0.0,0.0
2024-03-06,30000.0,30000.0,0.0,0.0
2024-03-07,30000.0,30000.0,0.0,0.0
2024-03-08,30000.0,30000.0,0.0,0.0
2024-03-11,30000.0,30000.0,0.0,0.0
2024-03-12,30000.0,30000.0,0.0,0.0
2024-03-13,30000.0,30000.0,0.0,0.0
2024-03-14,30000.0,30000.0,0.0,0.0
2024-03-15,30000.0,30000.0,0.0,0.0
2024-03-18,30000.0,30000.0,0.0,0.0
2024-03-19,30000.0,30000.0,0.0,0.0
2024-03-20,30000.0,30000.0,0.0,0.0
2024-03-21,30000.0,30000.0,0.0,0.0
2024-03-22,30000.0,30000.0,0.0,0.0
2024-03-25,30000.0,30000.0,0.0,0.0
2024-03-26,30000.0,30000.0,0.0,0.0
2024-03-27,30000.0,30000.0,0.0,0.0
2024-03-28,30000.0,30000.0,0.0,0.0
